RUN	computerdatabase.advanced.ScalaAdvancedSimulationStep01	scalaadvancedsimulationstep01	1667758178850	run	3.6.1
USER	Scenario Name	START	1667758179689
REQUEST		Home	1667758179724	1667758180298	OK	 
REQUEST		Home Redirect 1	1667758180309	1667758180608	OK	 
REQUEST		Search	1667758181635	1667758181910	OK	 
REQUEST		Select	1667758182923	1667758183204	OK	 
REQUEST		Home	1667758184221	1667758184498	OK	 
REQUEST		Home Redirect 1	1667758184499	1667758186239	OK	 
REQUEST		Page 1	1667758188255	1667758188537	OK	 
REQUEST		Page 2	1667758189218	1667758189494	OK	 
REQUEST		Page 3	1667758190133	1667758190413	OK	 
REQUEST		Page 4	1667758191153	1667758191435	OK	 
REQUEST		Form	1667758196449	1667758196730	OK	 
REQUEST		Post	1667758197749	1667758198029	OK	 
REQUEST		Post Redirect 1	1667758198040	1667758198320	OK	 
USER	Scenario Name	END	1667758198325
